Polymer_Conc,Solvent,FR,Vol,Distance,Gauge,Diameter_Mean
7.0,Chloroform,0.6,7.5,200.0,1.19,30.0
5.0,Chloroform,0.9,7.5,100.0,1.19,29.7
7.12,THF,3.0,10.5,130.0,0.83,28.8
7.0,Chloroform,0.6,7.5,175.0,1.19,28.0
5.0,Chloroform,0.6,6.5,100.0,1.19,27.6
1.0,Chloroform,0.6,7.5,150.0,1.19,27.6
10.68,THF,3.0,10.5,90.0,0.83,26.9
10.68,THF,3.0,10.5,160.0,0.83,26.4
5.0,Chloroform,0.6,7.5,150.0,1.19,26.3
7.0,DCM,4.0,12.0,110.0,0.39,25.6
5.0,Chloroform,0.6,7.5,125.0,1.19,24.3
10.68,THF,3.0,10.5,130.0,0.83,24.0
5.0,Chloroform,0.6,7.5,100.0,1.19,23.8
5.0,Chloroform,0.6,7.5,100.0,1.19,23.8
5.0,Chloroform,0.6,7.5,100.0,1.19,23.8
7.12,THF,2.0,10.5,130.0,0.83,23.5
10.68,THF,3.0,10.5,60.0,0.83,23.1
7.12,THF,3.0,10.5,130.0,0.83,22.9
7.12,THF,3.0,10.5,90.0,0.83,22.8
10.0,DCM,5.0,11.0,,0.91,22.1
5.0,Chloroform,0.6,8.5,100.0,1.19,21.9
6.0,DCM,5.0,11.0,,0.91,21.4
6.0,DCM,5.0,11.0,,0.91,21.2
7.0,Chloroform,0.6,9.0,100.0,1.19,21.1
7.0,Chloroform,0.6,7.5,150.0,1.19,21.1
10.68,THF,2.0,10.5,130.0,0.83,20.9
1.0,Chloroform,0.6,7.5,125.0,1.19,20.8
7.12,THF,3.0,10.5,160.0,0.83,20.5
10.0,DCM,5.0,11.0,,0.91,20.3
10.68,THF,2.0,10.5,90.0,0.83,20.1
10.68,THF,2.0,10.5,160.0,0.83,19.6
7.0,Chloroform,0.6,10.0,100.0,1.19,19.3
7.0,Chloroform,0.6,8.0,100.0,1.19,18.7
1.0,Chloroform,0.6,7.5,100.0,1.19,18.6
1.0,Chloroform,0.6,7.5,100.0,1.19,18.6
7.12,THF,2.0,10.5,160.0,0.83,18.3
5.0,Chloroform,0.3,7.5,100.0,1.19,18.0
7.12,THF,3.0,10.5,60.0,0.83,17.5
1.0,Chloroform,0.6,6.5,100.0,1.19,16.9
7.12,THF,2.0,10.5,130.0,0.83,15.5
8.0,DCM,5.0,10.0,,0.91,15.2
8.0,DCM,5.0,10.0,,0.91,15.1
7.12,THF,3.0,10.5,30.0,0.83,14.3
6.0,DCM,3.0,9.8,,0.91,14.2
7.12,THF,2.0,10.5,60.0,0.83,13.5
8.0,DCM,5.0,10.0,,0.91,12.6
5.0,Chloroform,3.0,10.0,150.0,0.5,12.2
10.68,THF,2.0,10.5,60.0,0.83,11.7
7.12,THF,2.0,10.5,90.0,0.83,11.6
2.0,Chloroform,2.0,11.0,130.0,0.64,11.25
7.12,THF,2.0,10.5,30.0,0.83,11.1
7.0,DCM,2.0,12.0,110.0,0.39,10.0
5.0,EA,1.2,8.0,100.0,,10.0
1.0,Chloroform,0.6,8.5,100.0,1.19,10.0
10.68,THF,3.0,10.5,30.0,0.83,9.5
15.0,Acetone,3.0,15.0,200.0,1.5,8.85
4.0,DCM,0.9,15.0,100.0,1.27,8.39
7.0,Chloroform,0.8,,150.0,0.64,8.34
5.0,DCM,0.8,,150.0,0.51,8.15
5.0,EA,1.2,8.0,150.0,,8.0
2.0,Chloroform,0.5,8.0,130.0,0.64,7.8
7.0,DCM,1.0,12.0,70.0,0.39,7.32
6.3,ACN,3.0,11.5,70.0,2.34,7.2
5.0,Chloroform,0.6,,100.0,0.51,7.15
7.0,DCM,1.0,12.0,110.0,0.39,7.05
